Route_Name,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:10,06h 25m,05:35,4.5,550,22 Seats available
Hyderabad to Vijayawada,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,05h 45m,05:35,4.4,INR 409,22 Seats available
Hyderabad to Vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06h 31m,06:30,4.5,INR 889,11 Seats available
Hyderabad to Vijayawada,AdSai Dasari Travels,Non A/C Seater / Sleeper (2+1),23:05,05h 22m,04:27,4.0,475,17 Seats available
Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),00:20,06h 10m,06:30,4.5,400,32 Seats available
Hyderabad to Vijayawada,IntrCity SmartBus,AC Sleeper (2+1),23:30,07h 15m,06:45,4.6,INR 639,13 Seats available
Hyderabad to Vijayawada,Svkdt travels,A/C Sleeper (2+1),23:35,06h 15m,05:50,4.4,INR 589,12 Seats available
Hyderabad to Vijayawada,AdSitara Travels,NON A/C Push Back (2+2),22:40,05h 20m,04:00,4.6,INR 499,21 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),22:30,07h 30m,06:00,4.3,332,15 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),22:35,06h 40m,05:15,4.4,384,10 Seats available
Hyderabad to Vijayawada,Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06h 27m,06:05,4.4,396,29 Seats available
Hyderabad to Vijayawada,Sri KVR Travels,A/C Sleeper (2+1),22:30,06h 55m,05:25,4.4,INR 579,8 Seats available
Hyderabad to Vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06h 55m,06:00,4.3,INR 419,20 Seats available
Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:40,06h 15m,05:55,4.4,450,34 Seats available
Hyderabad to Vijayawada,IntrCity SmartBus,AC Sleeper (2+1),23:25,06h 40m,06:05,4.3,INR 599,7 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),16:45,06h 15m,23:00,4.3,332,14 Seats available
Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),22:25,06h 30m,04:55,4.4,500,25 Seats available
Hyderabad to Vijayawada,CVR Express,Non A/C Seater / Sleeper (2+1),21:40,06h 20m,04:00,4.4,INR 560,15 Seats available
Hyderabad to Vijayawada,Sri Sanvi Tours and Travels,A/C Sleeper (2+1),23:12,05h 41m,04:53,4.3,584,19 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),22:00,07h 10m,05:10,4.2,428,9 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater/Sleeper (2+1),23:00,06h 25m,05:25,4.1,427,8 Seats available
Hyderabad to Vijayawada,Svkdt travels,A/C Seater / Sleeper (2+1),22:35,06h 55m,05:30,4.2,INR 489,11 Seats available
Hyderabad to Vijayawada,Zingbus Plus,A/C Sleeper (2+1),16:30,07h 15m,23:45,4.7,478,2 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),23:50,06h 40m,06:30,4.2,391,21 Seats available
Hyderabad to Vijayawada,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:30,07h 00m,04:30,4.3,INR 560,7 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),21:30,06h 50m,04:20,4.1,352,11 Seats available
Hyderabad to Vijayawada,Sri Durga Malleswari Travels,A/C Sleeper (2+1),21:50,07h 10m,05:00,4.2,713,12 Seats available
Hyderabad to Vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),00:15,06h 10m,06:25,4.2,INR 369,26 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),23:15,07h 20m,06:35,4.3,527,12 Seats available
Hyderabad to Vijayawada,Svkdt travels,A/C Sleeper (2+1),23:35,06h 15m,05:50,4.1,INR 589,14 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),23:30,07h 00m,06:30,4.0,356,14 Seats available
Hyderabad to Vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06h 20m,06:05,4.0,INR 419,10 Seats available
Hyderabad to Vijayawada,FRESHBUS,Electric A/C Seater (2+2),16:45,06h 25m,23:10,4.4,400,30 Seats available
Hyderabad to Vijayawada,Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,05h 25m,04:35,4.2,713,9 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),16:30,05h 10m,21:40,4.0,356,17 Seats available
Hyderabad to Vijayawada,Tirumala Xpress,A/C Sleeper (2+1),23:00,06h 50m,05:50,3.9,INR 515,26 Seats available
Hyderabad to Vijayawada,IntrCity SmartBus,AC Sleeper (2+1),22:45,07h 05m,05:50,3.9,INR 599,16 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),22:00,07h 20m,05:20,4.1,432,7 Seats available
Hyderabad to Vijayawada,Yolo Bus,A/C Seater / Sleeper (2+1),22:15,07h 18m,05:33,3.9,INR 450,12 Seats available
Hyderabad to Vijayawada,LVR Travels,Non A/C Seater / Sleeper (2+1),23:37,06h 08m,05:45,3.9,504,24 Seats available
Hyderabad to Vijayawada,NueGo,Electric A/C Seater (2+2),22:30,07h 05m,05:35,3.8,332,23 Seats available
Hyderabad to Vijayawada,Pavan Tours and Travels,A/C Sleeper (2+1),22:30,06h 40m,05:10,4.3,582,16 Seats available
Hyderabad to Vijayawada,PRK Travels,Non A/C Seater / Sleeper (2+1),22:13,07h 12m,05:25,3.9,INR 560,9 Seats available
Hyderabad to Vijayawada,V Kaveri Travels,A/C Seater / Sleeper (2+1),23:00,05h 15m,04:15,4.0,INR 550,13 Seats available
Hyderabad to Vijayawada,DMR Travels,A/C Sleeper (2+1),21:16,06h 14m,03:30,4.7,809,19 Seats available
Hyderabad to Vijayawada,Go Tour Travels and Holidays,A/C Seater / Sleeper (2+1),23:10,05h 05m,04:15,4.5,INR 690,16 Seats available
Hyderabad to Vijayawada,Sri KVR Travels,NON A/C Sleeper (2+1),23:01,06h 30m,05:31,3.8,INR 500,17 Seats available
Hyderabad to Vijayawada,LVP Travels,A/C Seater / Sleeper (2+1),21:15,07h 44m,04:59,3.8,INR 550,19 Seats available
Hyderabad to Vijayawada,Sri Durga Malleswari Travels,A/C Seater / Sleeper (2+1),21:00,07h 40m,04:40,4.0,475,19 Seats available
Hyderabad to Vijayawada,BSR Tours And Travels,VE A/C Sleeper (2+1),22:00,06h 10m,04:10,4.4,INR 980,4 Seats available
Hyderabad to Vijayawada,Anjani Bus,A/C Seater / Sleeper (2+1),22:45,05h 55m,04:40,3.5,INR 449,27 Seats available
Hyderabad to Vijayawada,Orange Tours And Travels,A/C Sleeper (2+1),22:25,06h 20m,04:45,3.5,INR 900,18 Seats available
Hyderabad to Vijayawada,CVR Express,Non A/C Seater / Sleeper (2+1),21:40,06h 20m,04:00,4.2,INR 560,30 Seats available
Hyderabad to Vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:30,05h 30m,03:00,4.8,INR 1539,2 Seats available
Hyderabad to Vijayawada,Sri Venkata Padmavathi Travels,Non A/C Seater / Sleeper (2+1),22:42,07h 18m,06:00,3.6,INR 490,24 Seats available
Hyderabad to Vijayawada,Pavan Tours and Travels,VE A/C Sleeper (2+1),23:05,05h 20m,04:25,3.3,536,20 Seats available
Hyderabad to Vijayawada,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:00,07h 30m,05:30,3.2,INR 500,27 Seats available
Hyderabad to Vijayawada,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),23:30,06h 00m,05:30,3.3,INR 700,26 Seats available
Hyderabad to Vijayawada,DMR Travels,Non A/C Seater / Sleeper (2+1),21:50,06h 10m,04:00,5.0,495,17 Seats available
Hyderabad to Vijayawada,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21:30,06h 00m,03:30,3.9,INR 1100,15 Seats available
Hyderabad to Vijayawada,SAMANVI CITICONNECT,Non A/C Seater / Sleeper (2+1),22:25,05h 50m,04:15,3.3,INR 610,19 Seats available
Hyderabad to Vijayawada,Morning Star Travels,A/C Sleeper (2+1),23:05,06h 15m,05:20,3.4,INR 600,15 Seats available
Hyderabad to Vijayawada,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:15,06h 10m,04:25,3.7,INR 500,25 Seats available
Hyderabad to Vijayawada,IntrCity SmartBus,AC Sleeper (2+1),20:40,06h 50m,03:30,5.0,INR 919,5 Seats available
Hyderabad to Vijayawada,SAMANVI CITICONNECT,Non A/C Seater / Sleeper (2+1),19:10,07h 20m,02:30,4.2,INR 719,11 Seats available
Khammam to Hyderabad,TGSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,04h 00m,01:00,3.5,INR 389,5 Seats available
Khammam to Hyderabad,BSR Tours And Travels,NON A/C Seater (2+2),23:40,06h 20m,06:00,4.2,INR 1080,4 Seats available
Khammam to Hyderabad,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,4.2,INR 1050,1 Seat available
Khammam to Hyderabad,Sri Venkateswara Travels,A/C Semi Sleeper (2+2),23:45,05h 35m,05:20,3.7,INR 1050,8 Seats available
Khammam to Hyderabad,RRR Travels,A/C Sleeper (2+1),23:50,05h 40m,05:30,4.5,INR 1000,1 Seat available
Khammam to Hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:58,05h 02m,05:00,5.0,INR 1390,1 Seat available
Khammam to Hyderabad,BSR Tours And Travels,A/C Sleeper (2+1),23:59,06h 01m,06:00,4.3,INR 1680,1 Seat available
Khammam to Hyderabad,SAIRAJ TRAVELS,A/C Sleeper (2+1),23:59,05h 31m,05:30,5.0,INR 1800,1 Seat available
Khammam to Hyderabad,SAIRAJ TRAVELS,A/C Seater / Sleeper (2+1),23:59,06h 06m,06:05,4.4,INR 1505,1 Seat available
Khammam to Hyderabad,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),00:30,04h 30m,05:00,3.2,INR 1100,5 Seats available
Khammam to Hyderabad,Mozo travels,A/C Seater / Sleeper (2+1),01:30,04h 30m,06:00,4.4,INR 1499,4 Seats available
Khammam to Hyderabad,Sri KVR Travels,NON A/C Seater (2+2),23:40,05h 20m,05:00,2.6,INR 3000,40 Seats available
Khammam to Hyderabad,Sri KVR Travels,NON A/C Seater (2+2),23:40,05h 20m,05:00,1.0,INR 1090,13 Seats available
Khammam to Hyderabad,Morning Star Travels,A/C Sleeper (2+1),01:30,03h 30m,05:00,2.2,INR 1690,1 Seat available
Hyderabad to Khammam,TGSRTC - 1320,Lahari Non A/C Sleeper Cum Seater,16:35,04h 35m,21:10,2.4,INR 389,25 Seats available
Hyderabad to Khammam,TGSRTC - 8796,RAJDHANI (A.C. Semi Sleeper),16:35,03h 45m,20:20,2.6,INR 389,37 Seats available
Hyderabad to Khammam,TGSRTC - 8682,RAJADHANI AC (CONVERTED METRO LUXURY),18:30,04h 00m,22:30,3.5,INR 389,37 Seats available
Hyderabad to Khammam,TGSRTC - 8618,Super Luxury (Non AC Seater 2+2 Push Back),18:40,04h 20m,23:00,4.3,INR 320,31 Seats available
Hyderabad to Khammam,TGSRTC - 64021,RAJDHANI (A.C. Semi Sleeper),19:30,04h 00m,23:30,4.2,INR 389,36 Seats available
Hyderabad to Khammam,TGSRTC - 7645,Super Luxury (Non AC Seater 2+2 Push Back),19:30,06h 15m,01:45,2.2,INR 320,31 Seats available
Hyderabad to Khammam,TGSRTC - 8601,Super Luxury (Non AC Seater 2+2 Push Back),19:40,04h 05m,23:45,3.8,INR 320,31 Seats available
Hyderabad to Khammam,TGSRTC - 8804,RAJDHANI (A.C. Semi Sleeper),20:35,05h 45m,02:20,4.0,INR 389,27 Seats available
Hyderabad to Khammam,TGSRTC - 64341,Super Luxury (Non AC Seater 2+2 Push Back),20:50,06h 20m,03:10,3.9,INR 320,12 Seats available
Hyderabad to Khammam,TGSRTC - 8699,RAJDHANI (A.C. Semi Sleeper),21:00,04h 00m,01:00,4.2,INR 389,36 Seats available
Hyderabad to Khammam,TGSRTC - 8825,Super Luxury (Non AC Seater 2+2 Push Back),21:00,05h 40m,02:40,3.2,INR 320,22 Seats available
Hyderabad to Khammam,TGSRTC - 8848,Super Luxury (Non AC Seater 2+2 Push Back),21:20,05h 35m,02:55,4.8,INR 320,5 Seats available
Hyderabad to Khammam,TGSRTC - 8886,Lahari Non A/C Sleeper Cum Seater,21:30,05h 45m,03:15,3.8,INR 320,24 Seats available
Hyderabad to Khammam,TGSRTC - 8624,RAJDHANI (A.C. Semi Sleeper),21:30,04h 00m,01:30,2.9,INR 389,30 Seats available
Hyderabad to Khammam,TGSRTC - 64864,Super Luxury (Non AC Seater 2+2 Push Back),21:40,04h 20m,02:00,4.9,INR 320,30 Seats available
Hyderabad to Khammam,TGSRTC - 8971,Super Luxury (Non AC Seater 2+2 Push Back),22:00,06h 10m,04:10,4.8,INR 320,13 Seats available
Hyderabad to Khammam,TGSRTC - 64832,RAJDHANI (A.C. Semi Sleeper),22:00,05h 45m,03:45,2.7,INR 389,26 Seats available
Hyderabad to Khammam,TGSRTC - 34332,LAHARI A/C SLEEPER CUM SEATER,22:00,04h 25m,02:25,5.0,INR 389,14 Seats available
Hyderabad to Khammam,TGSRTC - 9970,Super Luxury (Non AC Seater 2+2 Push Back),22:15,04h 15m,02:30,3.2,INR 320,28 Seats available
Hyderabad to Khammam,TGSRTC - 64827,Super Luxury (Non AC Seater 2+2 Push Back),22:15,05h 55m,04:10,3.7,INR 320,5 Seats available
Hyderabad to Khammam,TGSRTC - 64527,Super Luxury (Non AC Seater 2+2 Push Back),22:55,05h 55m,04:50,4.3,INR 320,23 Seats available
Hyderabad to Khammam,TGSRTC - 8610,Rajdhani (AC Semi Sleeper 2+2),23:00,05h 30m,04:30,4.2,INR 389,34 Seats available
Hyderabad to Khammam,TGSRTC - 8676,RAJDHANI (A.C. Semi Sleeper),23:00,04h 00m,03:00,3.9,INR 389,26 Seats available
Hyderabad to Khammam,TGSRTC - 8975,Super Luxury (Non AC Seater 2+2 Push Back),23:15,04h 15m,03:30,3.3,INR 320,27 Seats available
Hyderabad to Khammam,TGSRTC - 64090,RAJDHANI (A.C. Semi Sleeper),23:30,04h 00m,03:30,3.3,INR 389,34 Seats available
